,age,age,BMI,BMI
,mean,std,mean,std
condition,,,,
Total,20.28,2.5086516962969037,21.246399999999998,2.5361418861464884
CFT,19.833333333333332,2.6911752530120077,20.00583333333333,1.4744888688092639
Control,20.692307692307693,2.3588350014578303,22.39153846153846,2.8127324975127137
